Ingested app: 'BN Inscript Improved Input keyboard' (row 6519) in  0.0447 seconds
Ingested app: 'Moana Island Life' (row 2092) in  0.0441 seconds
Ingested app: 'Draw Color by Number - Sandbox Pixel Art' (row 7011) in  0.0469 seconds
Ingested app: 'Age of Conquest: N. America' (row 4411) in  0.0434 seconds
Ingested app: 'Flight & Hotel Booking App - ixigo' (row 3134) in  0.0469 seconds
Ingested app: 'Scale Models DB' (row 8212) in  0.0469 seconds
Ingested app: 'GO Launcher EX UI5.0 theme' (row 10038) in  0.0469 seconds
Ingested app: 'Univision Deportes: Liga MX, MLS, F\xfatbol Live' (row 3096) in  0.0469 seconds
Ingested app: 'ASCCP Mobile' (row 2378) in  0.0469 seconds
Ingested app: 'Home workouts - fat burning, abs, legs, arms,chest' (row 1302) in  0.0469 seconds
Ingested app: 'Asana: organize team projects' (row 277) in  0.0469 seconds
Ingested app: "Lock 'n' Roll Pro - Ad Free" (row 4409) in  0.0469 seconds
Ingested app: 'Chinese Chess ( Xiangqi Free )' (row 7648) in  0.0356 seconds
Ingested app: 'J Dark Ice Substratum Theme' (row 4275) in  0.0587 seconds
Ingested app: 'EF Lens Simulator' (row 9294) in  0.047 seconds
Ingested app: 'FD e-paper' (row 10313) in  0.064 seconds
Ingested app: 'Scarf Fashion Designer' (row 1631) in  0.0469 seconds
Ingested app: 'FJ Final Join , Circles Game' (row 10484) in  0.0491 seconds
Ingested app: 'Extreme Motorbike Jump 3D' (row 9538) in  0.0452 seconds
Ingested app: 'BR Chat Bot' (row 6685) in  0.0468 seconds
Ingested app: 'Angry Birds Blast' (row 4856) in  0.0405 seconds
Ingested app: 'Banfield Pet Health Tracker' (row 2537) in  0.0469 seconds
Ingested app: 'CJ Infinity' (row 7445) in  0.0339 seconds
Ingested app: 'FD VR Store -VR Games and Apps' (row 10292) in  0.0523 seconds
Ingested app: 'BG BRIDAL GALLERY' (row 6136) in  0.0438 seconds
Ingested app: 'Emoji keyboard - Cute Emoticons, GIF, Stickers' (row 3328) in  0.0324 seconds
Ingested app: 'AJ\ub80c\ud130\uce74 \ubc95\uc778 \uce74\uc170\uc5b4\ub9c1' (row 5266) in  0.047 seconds
Ingested app: 'Color by Number \u2013 New Coloring Book' (row 1771) in  0.0469 seconds
Ingested app: 'Ev Dizayn' (row 9966) in  0.047 seconds
Ingested app: 'EMT PASS' (row 2266) in  0.0475 seconds
Ingested app: 'News-Journal-Daytona Beach, FL' (row 10607) in  0.047 seconds
Ingested app: 'Photo Collage Editor' (row 2939) in  0.0469 seconds
Ingested app: 'Equestria Girls' (row 2123) in  0.0487 seconds
Ingested app: 'Walmart MoneyCard' (row 1106) in  0.0486 seconds
Ingested app: 'SuperPhoto - Effects & Filters' (row 2889) in  0.0467 seconds
Ingested app: 'Aj Di Awaaz' (row 5271) in  0.047 seconds
Ingested app: 'go41cx' (row 8077) in  0.0469 seconds
Ingested app: 'ReadyOp DT' (row 8862) in  0.0469 seconds
Ingested app: 'Checkers \u2714\ufe0f' (row 2159) in  0.047 seconds
Ingested app: 'My Day - Countdown Calendar \U0001f5d3\ufe0f' (row 1608) in  0.0494 seconds
Ingested app: 'CS & IT Interview Questions' (row 7842) in  0.0441 seconds
Ingested app: 'R\u043ehi.af' (row 5066) in  0.0423 seconds
Ingested app: 'My BP Lab' (row 6582) in  0.0462 seconds
Ingested app: 'Tutorials for R Programming Offline' (row 4564) in  0.0462 seconds
Ingested app: 'King of B.S.' (row 6737) in  0.0452 seconds
Ingested app: 'Marcus Theatres' (row 900) in  0.0441 seconds
Ingested app: 'Papyrus Ex' (row 10056) in  0.0441 seconds
Ingested app: 'Fulham FC' (row 10255) in  0.0423 seconds
Ingested app: 'Ray Financial Calculator Pro' (row 10540) in  0.0472 seconds
Ingested app: 'Zenefits' (row 266) in  0.048 seconds
Ingested app: 'P-Home for KLWP' (row 4452) in  0.0476 seconds
Ingested app: 'Go' (row 4169) in  0.0467 seconds
Ingested app: 'RETRO Shocked DW-6000' (row 9010) in  0.0452 seconds
Ingested app: 'IBM Micromedex Drug Info' (row 2418) in  0.0443 seconds
Ingested app: 'Choices: Stories You Play' (row 1853) in  0.0463 seconds
Ingested app: 'Yazdani Cd Center EllahAbad Official App' (row 7170) in  0.0454 seconds
Ingested app: 'Professional AV Solution & Products information' (row 5725) in  0.0479 seconds
Ingested app: 'SBB Mobile' (row 3853) in  0.0464 seconds
Ingested app: 'Guardians of Ancora' (row 9081) in  0.048 seconds
Ingested app: 'BuzzFeed: News, Tasty, Quizzes' (row 3766) in  0.044 seconds
Ingested app: 'TripAdvisor Hotels Flights Restaurants Attractions' (row 3136) in  0.0485 seconds
Ingested app: "HAWK \u2013 Force of an Arcade Shooter. Shoot 'em up" (row 9587) in  0.0641 seconds
Ingested app: 'Fruit Cube Blast' (row 2074) in  0.0469 seconds
Ingested app: 'D Day World War II Commando Survival Shooting' (row 4045) in  0.0468 seconds
Ingested app: 'EU Brazil Green Business Forum' (row 9929) in  0.0481 seconds
Ingested app: 'Hairstyles step by step' (row 104) in  0.0479 seconds
Ingested app: 'Install images with music to make video without Net - 2018' (row 46) in  0.049 seconds
Ingested app: 'Gun Strike Shoot' (row 5074) in  0.0521 seconds
Ingested app: 'The CJ Rubric' (row 7433) in  0.0384 seconds
Ingested app: 'ChangeDA - Cours du DZD sur le march\xe9 parall\xe8le' (row 9132) in  0.0468 seconds
Ingested app: 'Photo frame' (row 2818) in  0.0469 seconds
Ingested app: '\u4e57\u63dbNAVITIME\u3000Timetable & Route Search in Japan Tokyo' (row 3824) in  0.0469 seconds
Ingested app: 'WatchESPN' (row 3022) in  0.0469 seconds
Ingested app: 'Sniper 3D Gun Shooter: Free Shooting Games - FPS' (row 1723) in  0.0313 seconds
Ingested app: 'Contractor City Construction - Heavy Logistics' (row 7071) in  0.0469 seconds
Ingested app: 'Rush' (row 2006) in  0.0469 seconds
Ingested app: 'Battle Result Predictor for CR' (row 7763) in  0.0447 seconds
Ingested app: 'Auction Wars : Storage King' (row 5746) in  0.0475 seconds
Ingested app: 'DYPhyzio-Physiology Forum' (row 9087) in  0.0483 seconds
Ingested app: "Family Guy- Another Freakin' Mobile Game" (row 10396) in  0.0469 seconds
Ingested app: 'AZ Camera - Manual Pro Cam' (row 5874) in  0.0469 seconds
Ingested app: 'GoAction' (row 8964) in  0.0469 seconds
Ingested app: 'PTI Flex Maker, Photo Frame Editor & Songs 2018' (row 1021) in  0.0469 seconds
Ingested app: 'Blue CareOnDemand' (row 2500) in  0.0482 seconds
Ingested app: '3D Color Pixel by Number - Sandbox Art Coloring' (row 14) in  0.0469 seconds
Ingested app: 'Sports DV' (row 8932) in  0.0469 seconds
Ingested app: 'The grand theft V Wallpaper' (row 4701) in  0.056 seconds
Ingested app: 'Google Arts & Culture' (row 9838) in  0.0414 seconds
Ingested app: 'My Talking Tom' (row 1908) in  0.0469 seconds
Ingested app: 'HSPA+ Tweaker (3G booster)' (row 4183) in  0.0469 seconds
Ingested app: 'G-NetTrack Pro' (row 4172) in  0.0469 seconds
Ingested app: 'Backgrounds HD (Wallpapers)' (row 3425) in  0.0469 seconds
Ingested app: 'Dude Perfect 2' (row 1931) in  0.0591 seconds
Ingested app: 'Temple Run' (row 4061) in  0.047 seconds
Ingested app: 'Quizlet: Learn Languages & Vocab with Flashcards' (row 785) in  0.0469 seconds
Ingested app: 'CG Fit Scale' (row 7286) in  0.0469 seconds
Ingested app: 'Amazon Kindle' (row 4083) in  0.0468 seconds
Ingested app: 'Dark Infusion Substratum Theme for Android N & O' (row 4403) in  0.0523 seconds
Ingested app: 'Free WiFi Connect' (row 4369) in  0.0384 seconds
Ingested app: 'M\xe9t\xe9o Alg\xe9rie DZ' (row 9105) in  0.0469 seconds
Ingested app: 'Khan Academy' (row 738) in  0.0469 seconds
Ingested app: 'Love Images' (row 2567) in  0.0567 seconds
Ingested app: 'AP Stamps and Registration' (row 9244) in  0.0466 seconds
Ingested app: 'EF-myHR' (row 9286) in  0.0452 seconds
Ingested app: 'Tiny Scanner Pro: PDF Doc Scan' (row 235) in  0.0467 seconds
Ingested app: 'Sudoku Master' (row 10112) in  0.0448 seconds
Ingested app: "Dr. Panda & Toto's Treehouse" (row 8785) in  0.0441 seconds
Ingested app: 'EO KOREA' (row 9654) in  0.0493 seconds
Ingested app: 'Movies by Flixster, with Rotten Tomatoes' (row 883) in  0.0953 seconds
Ingested app: 'Car Race by Fun Games For Free' (row 6990) in  0.0515 seconds
Ingested app: 'Nextdoor - Local neighborhood news & classifieds' (row 2613) in  0.0482 seconds
