Ingested app: 'Special Forces Group 2' (row 7267) in  0.044 seconds
Ingested app: 'FamilySearch Tree' (row 158) in  0.044 seconds
Ingested app: 'Candy Crush Saga' (row 3994) in  0.044 seconds
Ingested app: 'Hostelworld: Hostels & Cheap Hotels Travel App' (row 3213) in  0.044 seconds
Ingested app: 'Resume Maker:Free CV Maker,Templates Builder' (row 7967) in  0.044 seconds
Ingested app: 'DB for Fallout Shelter' (row 8235) in  0.044 seconds
Ingested app: 'LEGO Batman: DC Super Heroes' (row 8251) in  0.048 seconds
Ingested app: 'Dating for 50 plus Mature Singles \u2013 FINALLY' (row 515) in  0.048 seconds
Ingested app: 'DT Fieldlink' (row 8855) in  0.044 seconds
Ingested app: 'Screen Lock - with Fingerprint Simulator' (row 4063) in  0.052 seconds
Ingested app: 'HTC Service\u2014Video Player' (row 3694) in  0.0441 seconds
Ingested app: 'Onet - news, weather, sport' (row 3746) in  0.0441 seconds
Ingested app: 'Four In A Line Free' (row 3929) in  0.044 seconds
Ingested app: 'amm dz' (row 9101) in  0.0463 seconds
Ingested app: 'ZiraatBank BH' (row 6254) in  0.0444 seconds
Ingested app: 'Morse Trainer for Ham Radio' (row 8006) in  0.0464 seconds
Ingested app: 'E.G. Chess' (row 9325) in  0.0602 seconds
Ingested app: 'Numerica CU' (row 7927) in  0.0439 seconds
Ingested app: 'Shadow Fight 2 Special Edition' (row 6181) in  0.0519 seconds
Ingested app: 'Hill Climb Racing' (row 1689) in  0.0563 seconds
Ingested app: 'Cache Cleaner-DU Speed Booster (booster & cleaner)' (row 3239) in  0.0489 seconds
Ingested app: 'IQ Test' (row 7381) in  0.0459 seconds
Ingested app: 'EP Gem Hunter' (row 9724) in  0.047 seconds
Ingested app: 'ChargeHub - Find EV & Tesla Charging Stations' (row 9943) in  0.047 seconds
Ingested app: 'CN TV Canal 3 - Cable Netword' (row 7622) in  0.047 seconds
Ingested app: 'Your Freedom VPN Client' (row 8292) in  0.047 seconds
Ingested app: 'Home workouts - fat burning, abs, legs, arms,chest' (row 1302) in  0.047 seconds
Ingested app: 'Em Fuga Brasil' (row 9612) in  0.0469 seconds
Ingested app: 'Used Cars and Trucks for Sale' (row 52) in  0.0469 seconds
Ingested app: 'SweetRing - Meet, Match, Date' (row 569) in  0.0469 seconds
Ingested app: 'JOANN - Crafts & Coupons' (row 1621) in  0.0469 secondsIngested app: '\u0130\u015fCep' (row 1081) in  0.0469 seconds

Ingested app: 'Tastely' (row 1183) in  0.0469 seconds
Ingested app: 'Destiny Ninja Shall we date otome games love story' (row 8617) in  0.0625 seconds
Ingested app: 'The grand theft V Wallpaper' (row 4701) in  0.0469 seconds
Ingested app: 'Across Age DX' (row 9027) in  0.0469 seconds
Ingested app: 'C-E Federal Credit Union' (row 7203) in  0.0469 seconds
Ingested app: 'K-Spapp, the K-Space app' (row 4310) in  0.0469 seconds
Ingested app: '8 Ball Pool' (row 1703) in  0.0468 seconds
Ingested app: 'Door Lock Screen' (row 3381) in  0.0468 seconds
Ingested app: 'DX Simulation for Kabuto Henshin Belt 2018' (row 9046) in  0.0476 seconds
Ingested app: 'Dr. Parking 4' (row 8756) in  0.0559 seconds
Ingested app: 'BW Taxi' (row 6909) in  0.0579 seconds
Ingested app: 'Next Portuguese(BR) Langpack' (row 6708) in  0.0435 seconds
Ingested app: 'Guide for DB Xenoverse' (row 8220) in  0.0476 seconds
Ingested app: 'Cheats for GTA V' (row 4703) in  0.0476 seconds
Ingested app: 'Online Soccer Manager (OSM)' (row 8864) in  0.0384 seconds
Ingested app: 'Footej Camera' (row 9462) in  0.0334 seconds
Ingested app: 'Texas Holdem & Omaha Poker: Pokerist' (row 9615) in  0.0322 seconds
Ingested app: 'The CW TN app 2018' (row 7991) in  0.0441 seconds
Ingested app: 'Amazon Drive' (row 3570) in  0.0452 seconds
Ingested app: 'JEFIT Workout Tracker, Weight Lifting, Gym Log App' (row 1314) in  0.0412 seconds
Ingested app: '17th Edition Cable Sizer' (row 6760) in  0.0483 seconds
Ingested app: 'Live Talk - Free Text and Video Chat' (row 680) in  0.0483 seconds
Ingested app: 'Expedia Hotels, Flights & Car Rental Travel Deals' (row 3129) in  0.0483 seconds
Ingested app: 'El Laberinto del Demonio 3D' (row 9549) in  0.0313 seconds
Ingested app: 'United Airlines' (row 3160) in  0.0469 seconds
Ingested app: 'iBP Blood Pressure' (row 2244) in  0.0469 seconds
Ingested app: 'A-Z Screen Recorder -' (row 5882) in  0.0469 seconds
Ingested app: 'Futbol24' (row 2968) in  0.0469 seconds
